cue,tar,corrAns,targOrientation,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,pracText1.started,pracText1.stopped,practInst2.started,practInst2.stopped,fixFuration,image.started,image.stopped,cues.started,cues.stopped,target.started,target.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixationshort.started,fixationshort.stopped,text.started,text.stopped,mainInst.started,mainInst.stopped,instResp.keys,instResp.rt,instResp.started,instResp.stopped,rest.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stim/upper.png,stim/congLeft.png,left,0,,,,,0,0,0,0,0,8,8,0,,,,,0.4,113.86972979997518,None,114.27384300000267,114.38542970002163,114.76841060002334,None,left,1,0.5219031000160612,114.76841060002334,None,114.27384300000267,114.78486239997437,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/lower.png,stim/incongLeft.png,right,180,,,,,0,0,0,0,0,9,9,20,,,,,0.4,115.31787939998321,None,115.72233680001227,115.83413460000884,116.21758860000409,None,right,1,0.5939537999802269,116.21758860000409,None,115.72233680001227,116.23386320000282,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/upper.png,stim/incongLeft.png,left,0,,,,,0,0,0,0,0,10,10,16,,,,,0.4,116.834692000004,None,117.24943989998428,117.3493045999785,117.73276589997113,None,left,1,0.5426296999794431,117.73276589997113,None,117.24943989998428,117.74912689998746,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/centre.png,stim/incongLeft.png,left,0,,,,,0,0,0,0,0,11,11,18,,,,,0.4,118.29891180002596,None,118.7030848999857,118.81495640001958,119.198076199973,None,left,1,0.4589764999691397,119.198076199973,None,118.7030848999857,119.21466800000053,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/centre.png,stim/incongRight.png,left,180,,,,,0,0,0,0,0,12,12,30,,,,,0.5,119.6815810999833,None,120.18565940001281,120.29739030002384,120.68052459997125,None,left,1,0.5032148999744095,120.68052459997125,None,120.18565940001281,120.69675920001464,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/blank.png,stim/neutralLeft.png,right,180,,,,,0,0,0,0,0,13,13,39,,,,,0.45,121.21299159998307,None,121.66733359999489,121.77949719998287,122.16235070000403,None,right,1,0.47210130002349615,122.16235070000403,None,121.66733359999489,122.17883950000396,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/both.png,stim/neutralRight.png,left,180,,,,,0,0,0,0,0,14,14,45,,,,,0.5,122.66174419998424,None,123.17450409999583,123.27780290000373,123.66166039998643,None,left,1,0.44010140001773834,123.66166039998643,None,123.17450409999583,123.67770940001355,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/centre.png,stim/neutralLeft.png,right,180,,,,,0,0,0,0,0,15,15,38,,,,,0.55,124.1345676999772,None,124.69823490001727,124.81027110002469,125.19328160001896,None,right,1,0.4085260999854654,125.19328160001896,None,124.69823490001727,125.21007819997612,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/blank.png,stim/incongRight.png,right,0,,,,,0,0,0,0,0,16,16,27,,,,,0.55,125.62809249997372,None,126.19764450000366,126.30913040001178,126.69206249999115,None,right,1,0.9191429000347853,126.69206249999115,None,126.19764450000366,126.7086888999911,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/lower.png,stim/neutralRight.png,left,180,,,,,0,0,0,0,0,17,17,44,,,,,0.4,127.64118350000354,None,128.0405929000117,128.1410800999729,128.5238072000211,None,left,1,0.4381856999825686,128.5238072000211,None,128.0405929000117,128.54044499999145,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
